FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Laurent,Depoitre,FWD,HUD,5200000,2,27,3.9,7.5E-07,5.19230769230769E-06,0,19919,0,10,0,0,0,2,0,5.2,1386,-3,0,27,3,0.8,0,4.3,6,0,2,0,0,0.5,33056,0,0,0,0,526,2822,0,0,88,West Brom,Bournemouth,Man City,Arsenal,Everton,5.2,4.1,3.9,2.2,4.4,5.1,3.5,4.7,3.6,5.4,4.4,3.1,5.2,4.2,5.4,2.3,5.4,3.5,3.1,4,5.8,2.9,3.5,4.2,3.4,5.8,3,5.3,28.2
Mohamed,Diame,MID,NEW,4700000,2,8,0.266666666666667,5.67375886524823E-08,1.70212765957447E-06,0,10453,0,1,0,0,0,0,0,1.7,134,-3,0,8,3,0.2,0,1,0,0,0,0,0,0.1,2163,0,0,0,0,154,70,0,0,33,Bournemouth,Man Utd,Watford,West Brom,Chelsea,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,9.5
Brahim,Diaz,MID,MCI,4800000,0,0,0,0,0,0,3123,0,0,0,0,0,0,0,0,72,-2,0,0,2,0,0,0,0,0,0,0,0,0,818,0,0,0,0,0,17,0,0,0,Arsenal,Leicester,Huddersfield,Southampton,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric,Dier,MID,TOT,4900000,2,22,2.2,4.48979591836735E-07,4.48979591836735E-06,0,144559,2,5,0,0,0,0,0,4.5,4107,-1,0,22,1,0.4,0,2,0,0,5,0,0,3.1,89425,0,0,0,0,796,2487,0,0,120,Crystal Palace,Arsenal,West Brom,Leicester,Watford,2,1.1,1.7,1.6,1.9,1.5,1.5,1.1,1.6,1.3,2,2.3,2.4,1.8,1.4,1.1,2.2,1.7,1.8,1.9,2,1.8,1.6,1.1,1.3,1.1,1.4,1.8,32.4
Mame Biram,Diouf,FWD,STK,5500000,1,39,4.3,7.81818181818182E-07,7.09090909090909E-06,0,54363,1,19,0,0,0,3,0,7.1,11838,0,0,39,0,1,0,5.7,4,0,2,0,2,4.5,255565,0,0,0,0,810,15560,0,0,160,Leicester,Brighton,Crystal Palace,Liverpool,Swansea,5.4,4.4,5.1,5.9,4.3,3.9,4.1,5.6,5.7,4,4.3,5.6,3,5.4,4.5,5.1,5.6,4,4.6,4.3,6.3,2.9,3.9,4,4.8,3.5,6.4,4.5,54.2
Abdoulaye,Doucoure,MID,WAT,5400000,1,49,4.9,9.07407407407407E-07,9.07407407407407E-06,0,334492,3,18,0,0,0,4,0,9.1,21840,4,0,49,-4,0.7,0,3.7,9,0,3,0,0,17.7,1135385,0,0,0,1,900,25188,0,0,218,Everton,West Ham,Newcastle,Man Utd,Tottenham,6.8,5.6,5.8,4.2,3.5,6.1,6.2,5.2,5.4,5.2,5,4.4,3.9,5.9,5.9,3.6,6,6,4.9,4.8,4.7,5.4,4.6,5.9,5.5,5.8,5.6,4.3,59
Aleksandar,Dragovic,DEF,LEI,5000000,0,0,0,0,0,0,723,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,855,0,0,0,0,0,35,0,0,0,Stoke,Man City,West Ham,Tottenham,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel,Drinkwater,MID,CHE,4800000,1,1,0.0333333333333333,6.94444444444444E-09,2.08333333333333E-07,0,13869,0,0,0,0,0,0,0,0.2,156,-2,0,1,2,0.1,0,0.3,0,0,0,0,0,0.2,5741,0,0,0,0,11,179,0,0,7,Man Utd,West Brom,Liverpool,Swansea,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
Shane,Duffy,DEF,BHA,4500000,1,33,3.3,7.33333333333333E-07,7.33333333333333E-06,0,26124,3,10,0,0,0,0,0,7.3,2172,0,0,33,0,1,0,4.7,4,0,4,0,0,1.5,79362,0,0,0,1,882,3499,0,0,171,Swansea,Stoke,Man Utd,Crystal Palace,Liverpool,2.8,3.8,1.8,4.9,4.3,3,3.1,3.9,3.6,3.3,2.5,3.8,3.1,3.1,3.3,4.4,2.9,2.9,4.4,2.2,2.2,3.3,4.3,3.8,3.4,3.1,3.5,2.2,46.2
Paul,Dummett,DEF,NEW,4300000,0,1,0.0333333333333333,7.75193798449612E-09,2.32558139534884E-07,0,34563,0,0,0,0,0,0,0,0.2,101,-2,0,1,2,0,0,0,0,0,0,0,0,0.1,548,0,0,0,0,7,4,0,0,4,Bournemouth,Man Utd,Watford,West Brom,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
Lewis,Dunk,DEF,BHA,4400000,2,25,2.5,5.68181818181818E-07,5.68181818181818E-06,0,54707,1,11,0,0,0,0,0,5.7,1441,-1,0,25,1,0.7,0,3,0,0,3,0,0,1.6,52386,1,0,0,0,900,3435,0,0,164,Swansea,Stoke,Man Utd,Crystal Palace,Liverpool,1.8,2.5,1.2,3.8,2.9,1.9,2,2.6,2.3,2.1,1.6,2.6,2,2,2.2,3,1.8,1.9,3,1.4,1.4,2.2,3,2.8,2.2,2,2.3,1.4,42.6
Nathan,Dyer,MID,SWA,4400000,1,3,0.1,2.27272727272727E-08,6.81818181818182E-07,0,3510,0,0,0,0,0,0,0,0.7,226,-1,0,3,1,0.2,0,1,0,0,0,0,0,0.1,5331,0,0,0,0,56,202,0,0,11,Brighton,Burnley,Bournemouth,Chelsea,Stoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,Ederson,GLK,MCI,5500000,1,40,4,7.27272727272727E-07,7.27272727272727E-06,0,124787,0,6,0,13,0,0,0,7.3,6995,0,0,40,0,0.5,0,2.7,2,0,5,0,0,4.7,120995,0,0,0,0,855,1769,0,0,174,Arsenal,Leicester,Huddersfield,Southampton,West Ham,5.4,3.2,4.4,4.2,5.3,2.9,4.1,4.2,4.7,3.7,4.9,4.4,3.4,5.1,5.4,4.5,4.1,3.1,3.8,4.2,5.2,3.4,4.3,4.5,3.6,4.2,5.3,4.8,12.2
,Eduardo,GLK,CHE,4800000,0,0,0,0,0,0,2371,0,0,0,0,0,0,0,0,36,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,584,0,0,0,0,0,14,0,0,0,Man Utd,West Brom,Liverpool,Swansea,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas,Edwards,DEF,STK,4000000,0,0,0,0,0,0,357,0,3,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,967,0,0,0,0,52,208,0,0,12,Leicester,Brighton,Crystal Palace,Liverpool,Swansea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3
Robert,Elliot,GLK,NEW,4200000,3,37,3.7,8.80952380952381E-07,8.80952380952381E-06,0,141011,0,9,0,22,0,0,0,8.8,5947,2,0,37,-2,0.9,0,3.7,2,0,3,0,0,26.4,639317,0,0,0,2,900,9789,0,0,170,Bournemouth,Man Utd,Watford,West Brom,Chelsea,4.7,1.9,4.4,3.3,3.5,4.2,4.2,2,3,3.5,5.2,3,3.7,2.3,4.8,3.8,4.3,3.1,2.3,4.3,3.3,5.2,2.1,5.3,2.3,5.3,4.5,3.9,17.1
Mohamed,Elneny,MID,ARS,4400000,0,11,0.366666666666667,8.33333333333333E-08,2.5E-06,0,167048,1,5,0,0,0,0,0,2.5,4518,-1,0,11,1,0.2,0,0.7,0,0,1,0,1,2.7,141463,0,0,0,0,263,961,0,0,54,Man City,Tottenham,Burnley,Huddersfield,Man Utd,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,14.8
Christian,Eriksen,MID,TOT,9700000,2,60,6,6.18556701030928E-07,6.18556701030928E-06,0,638509,0,5,0,0,0,3,0,6.2,21056,2,0,60,-2,0.5,0,5,10,0,6,0,3,24.8,1045989,0,0,0,2,833,35519,0,0,239,Crystal Palace,Arsenal,West Brom,Leicester,Watford,8.3,5.8,7.6,7.2,8.1,7.2,7.1,5.3,7.4,6.5,8.4,8.6,8.3,7.9,6.8,5.7,8.7,7.5,8,8,8.4,7.9,7.2,4.8,6.5,5.3,6.8,8,97.2
Jonny,Evans,DEF,WBA,4900000,0,16,2.3,4.69387755102041E-07,3.26530612244898E-06,0,34926,3,11,0,0,0,1,0,3.3,708,-1,0,16,1,0.2,0,1,0,0,1,0,0,0.8,31259,0,0,0,0,571,836,0,0,101,Huddersfield,Chelsea,Tottenham,Newcastle,Crystal Palace,1.6,1.8,1.7,2.6,3.4,1.5,1.2,2.1,1.5,2,2.7,1.5,2.6,1.2,1.2,2,1.8,2.7,2.5,2,1.6,2.4,1.7,1.2,2.6,1.3,2,2.6,16.4
Lukasz,Fabianski,GLK,SWA,4600000,2,43,4.3,9.34782608695652E-07,9.34782608695652E-06,0,117605,0,12,0,39,0,0,0,9.3,4661,1,0,43,-1,0.7,0,3.3,3,0,4,0,0,8.3,308251,0,0,0,1,900,3706,0,0,215,Brighton,Burnley,Bournemouth,Chelsea,Stoke,5.5,5.2,4.9,5.5,5,5.7,3.5,4,6,4.1,6.4,4.3,4.5,5.5,5.7,3.8,5,5.3,5.6,5.1,4.4,3.5,5.3,4.3,4.1,4,5.1,4.8,26.7
Cesc,Fabregas,MID,CHE,6900000,3,28,3.1,4.49275362318841E-07,4.05797101449275E-06,0,443760,0,9,0,0,0,1,0,4.1,10102,-1,0,28,1,0.5,0,3.3,3,0,3,0,1,5.2,280181,0,0,0,1,719,2861,0,1,156,Man Utd,West Brom,Liverpool,Swansea,Newcastle,2.3,2.7,2.1,2.8,3.1,2.9,2.9,2.1,3.8,2.4,2.5,2.2,2.9,2.5,3,3.4,2.7,1.9,2,3.1,3,1.9,3.2,3.2,2.9,3.9,2.9,2.8,73.5
Adam,Federici,GLK,BOU,4000000,0,0,0,0,0,0,95190,0,0,0,0,0,0,0,0,1426,0,0,0,0,0,0,0,0,0,0,0,0,3,11385,0,0,0,0,0,98,0,0,0,Newcastle,Huddersfield,Swansea,Burnley,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sofiane,Feghouli,MID,WHU,5500000,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,Liverpool,Watford,Leicester,Everton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marouane,Fellaini,MID,MUN,4900000,0,30,1,2.04081632653061E-07,6.12244897959184E-06,0,143486,0,0,0,0,0,3,0,6.1,4927,-1,0,30,1,0,0,0,3,0,3,0,0,1.4,173006,0,0,0,1,315,683,0,0,103,Chelsea,Newcastle,Brighton,Watford,Arsenal,0.5,0.7,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.6,0.5,0.6,0.5,0.6,0.5,0.8,0.5,0.5,34.3
Leroy,Fer,MID,SWA,5400000,2,18,2,3.7037037037037E-07,3.33333333333333E-06,0,31719,4,10,0,0,0,0,0,3.3,357,-1,0,18,1,0.2,0,1.3,0,0,3,0,1,0.3,15560,0,0,0,0,689,127,0,0,89,Brighton,Burnley,Bournemouth,Chelsea,Stoke,1.2,1.4,1.6,1.6,1.4,1.4,1,2,1.7,1,1.7,1,1.3,1.5,1.8,1.4,1.3,1.2,1.7,1.4,1.1,1,1.2,2.1,1,1,1.7,1.3,24.3
Edimilson,Fernandes,MID,WHU,4400000,2,6,0.2,4.54545454545455E-08,1.36363636363636E-06,0,11158,1,9,0,0,0,0,0,1.4,242,-1,0,6,1,0.2,0,1,0,0,0,0,0,0.2,4470,0,0,0,0,277,420,0,0,28,Liverpool,Watford,Leicester,Everton,Man City,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,7.7
Federico,Fernandez,DEF,SWA,4500000,1,35,3.5,7.77777777777778E-07,7.77777777777778E-06,0,85491,0,12,0,0,0,0,0,7.8,3183,0,0,35,0,0.5,0,2.3,6,0,4,0,0,3.4,163747,1,0,0,0,900,2581,0,0,195,Brighton,Burnley,Bournemouth,Chelsea,Stoke,4.1,3.9,3.6,4.1,3.7,4.3,2.5,2.9,4.9,3,5,3.1,3.3,4.1,4.3,2.8,3.7,3.9,4.2,3.8,3.2,2.5,3.9,3.1,3,2.9,3.8,3.5,29
,Fernandinho,MID,MCI,5100000,13,42,4.2,8.23529411764706E-07,8.23529411764706E-06,0,162448,3,6,0,0,0,2,0,8.2,4458,1,0,42,-1,1.4,0,7.3,3,0,6,0,2,5.2,306235,0,0,0,1,869,40716,0,0,203,Arsenal,Leicester,Huddersfield,Southampton,West Ham,5.6,4.1,4.1,4,5.4,2.8,5.4,3.6,5.2,4,4.4,3.2,3.1,5.4,4.8,4.2,5.1,3.2,3.7,4.1,4.4,5.3,4.2,4,4.9,4.2,5.1,4.6,54.6
,Fernando,MID,MCI,4500000,0,0,0,0,0,0,3977,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0.1,381,0,0,0,0,0,7,0,0,0,Arsenal,Leicester,Huddersfield,Southampton,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam,Field,MID,WBA,4500000,0,6,0.2,4.44444444444444E-08,1.33333333333333E-06,0,12524,0,0,0,0,0,0,0,1.3,234,0,0,6,0,0,0,0,0,0,2,0,0,0.2,15302,0,0,0,0,154,15,0,0,12,Huddersfield,Chelsea,Tottenham,Newcastle,Crystal Palace,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.6
Roberto,Firmino,FWD,LIV,8500000,8,45,4.5,5.29411764705882E-07,5.29411764705882E-06,0,1331264,0,11,0,0,0,3,0,5.3,15422,0,0,45,0,0.5,0,4,8,0,4,0,2,18.7,1106648,0,0,0,1,698,42400,0,0,179,West Ham,Southampton,Chelsea,Stoke,Brighton,3.3,5.3,4.7,4.5,3.7,6.8,6.6,4.4,2.2,5.2,6.3,3.3,5.2,3.7,3.2,4.8,3.8,6.5,6.5,2.3,5.5,4.3,4.4,6.7,3.6,6.8,3.6,6.5,80.2
Jon,Flanagan,DEF,LIV,4500000,0,0,0,0,0,0,562,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,519,0,0,0,0,0,22,0,0,0,West Ham,Southampton,Chelsea,Stoke,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashley,Fletcher,FWD,WHU,4500000,0,0,0,0,0,0,28280,0,0,0,0,0,0,0,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0.4,4271,0,0,0,0,0,70,0,0,0,Liverpool,Watford,Leicester,Everton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darren,Fletcher,MID,STK,4900000,11,30,3,6.12244897959184E-07,6.12244897959184E-06,0,28963,0,20,0,0,0,1,0,6.1,764,-1,0,30,1,1,0,5,3,0,2,0,0,0.6,11513,0,0,0,1,900,4674,0,0,134,Leicester,Brighton,Crystal Palace,Liverpool,Swansea,3.3,2,2.5,3.2,3.1,2.2,2.4,3.5,3.1,2.3,2.7,3.5,1.5,3.3,1.9,2.8,2.8,2.3,2.7,1.7,4,1.7,2.2,2.4,2.9,1.7,3.4,3.3,32.5
Phil,Foden,MID,MCI,4800000,0,0,0,0,0,0,1895,0,0,0,0,0,0,0,0,16,-2,0,0,2,0,0,0,0,0,0,0,0,0,428,0,0,0,0,0,25,0,0,0,Arsenal,Leicester,Huddersfield,Southampton,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jose,Fonte,DEF,WHU,4900000,2,34,4.3,8.77551020408163E-07,6.93877551020408E-06,0,81612,0,11,0,0,0,0,0,6.9,7857,-1,0,34,1,0.3,0,1.7,3,0,3,0,2,2.2,76445,0,0,0,0,688,198,0,0,156,Liverpool,Watford,Leicester,Everton,Man City,0,5.7,5.1,3.1,3.1,4.8,6.4,4,6.1,4.1,4.3,6.4,4.2,5.7,6.4,4.3,5.4,3.1,3.9,5.8,5.3,5.2,4.5,5.6,2.8,4.4,2.9,5.1,33.4
Fraser,Forster,GLK,SOU,5100000,2,49,4.9,9.6078431372549E-07,9.6078431372549E-06,0,168050,0,10,0,29,0,0,0,9.6,7061,1,0,49,-1,0.6,0,3,5,0,4,0,0,9.5,298767,0,0,1,1,900,6309,0,0,194,Burnley,Liverpool,Everton,Man City,Bournemouth,6,5,5.2,5,6.1,6.7,5.1,6.6,6.6,6.3,4.4,6.8,7.4,5.2,6.5,6.3,6.5,6.3,5.7,5.4,5.9,6,4.6,4.8,4.7,5.9,5,4.3,22.2
Ben,Foster,GLK,WBA,4500000,1,29,3.2,7.11111111111111E-07,6.44444444444444E-06,0,335088,1,12,0,19,0,0,0,6.4,8176,0,0,29,0,0.3,0,1.3,1,0,3,0,0,13.1,284735,0,0,0,0,810,871,0,0,148,Huddersfield,Chelsea,Tottenham,Newcastle,Crystal Palace,2.8,3,2.8,4.1,4.8,2.5,2,3.4,2.6,3.3,4.3,2.6,4.2,2,2,3.3,3,4.2,3.9,3.2,2.7,3.8,2.8,1.7,4.2,2.3,3.3,3.6,14.9
Timothy,Fosu-Mensah,DEF,CRY,4500000,1,10,1.3,2.88888888888889E-07,2.22222222222222E-06,0,63230,0,14,0,0,0,0,0,2.2,766,0,0,10,0,0.2,0,0.7,0,0,0,0,0,1,27004,0,0,0,0,611,114,0,0,114,Tottenham,Everton,Stoke,Brighton,West Brom,0.6,0.8,0.9,0.6,0.6,0.9,0.8,0.6,0.6,1.2,0.6,0.7,1,0.6,0.6,1.1,0.6,0.8,0.8,0.7,0.6,1.1,0.6,1.1,1,0.8,0.6,1.2,18.4
Juan,Foyth,DEF,TOT,4500000,0,0,0,0,0,0,577,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,722,0,0,0,0,0,35,0,0,0,Crystal Palace,Arsenal,West Brom,Leicester,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simon,Francis,DEF,BOU,4400000,1,16,2,4.54545454545455E-07,3.63636363636364E-06,0,103187,2,8,0,0,0,0,0,3.6,994,-1,0,16,1,0.4,0,1.7,0,0,1,0,0,1.1,21831,0,0,0,0,664,1596,0,0,117,Newcastle,Huddersfield,Swansea,Burnley,Southampton,1.1,2.1,1.3,1.8,1.5,2.4,1,2,1,2.1,1.5,1.5,2.1,1.3,1.6,1.7,1.4,2,1,1.5,2.1,2.1,3,1,1.5,1.6,1.2,1.5,22.6
Ryan,Fraser,MID,BOU,5200000,0,8,0.266666666666667,5.12820512820513E-08,1.53846153846154E-06,0,54823,0,5,0,0,0,0,0,1.5,516,-3,0,8,3,0,0,0,0,0,0,0,0,0.3,7111,0,0,0,0,270,9,0,0,32,Newcastle,Huddersfield,Swansea,Burnley,Southampton,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,14.3
Christian,Fuchs,DEF,LEI,4900000,12,32,4,8.16326530612245E-07,6.53061224489796E-06,0,109087,1,10,0,0,0,0,0,6.5,1592,-1,0,32,1,1,0,5,6,0,3,0,1,2.5,41339,0,0,0,1,720,10402,0,0,157,Stoke,Man City,West Ham,Tottenham,Burnley,3.7,3.8,3.7,4.6,5.2,3.2,4.3,6,4.7,5.3,2.9,5.7,4.2,4.8,2.9,4,2.9,5,5.1,4,5.7,4,5.5,4,4.6,4.4,5.7,4,28.9
Jay,Fulton,MID,SWA,4400000,0,0,0,0,0,0,2489,1,0,0,0,0,0,0,0,103,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,3035,0,0,0,0,16,45,0,0,-2,Brighton,Burnley,Bournemouth,Chelsea,Stoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramiro,Funes Mori,DEF,EVE,4900000,0,0,0,0,0,0,770,0,0,0,0,0,0,0,0,11,-1,0,0,1,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,6,0,0,0,Watford,Crystal Palace,Southampton,West Ham,Huddersfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manolo,Gabbiadini,FWD,SOU,6600000,2,32,3.2,4.84848484848485E-07,4.84848484848485E-06,0,343362,1,8,0,0,0,3,0,4.8,6538,-4,0,32,4,0.8,0,5.3,4,0,3,0,0,3.2,211367,0,0,0,1,596,6095,0,0,104,Burnley,Liverpool,Everton,Man City,Bournemouth,2.7,2.5,4,2.8,3.7,3.5,3.2,3.1,3.2,2.8,2.2,4.3,4.2,2.1,3.3,3.2,3.6,2.9,3.6,2.7,3.3,2.9,2.1,2,2.9,3.6,3.9,2.3,32.7
,Gabriel,DEF,ARS,5000000,0,0,0,0,0,0,1762,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0,0,0,0,0,3,0,0,0,Man City,Tottenham,Burnley,Huddersfield,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Gamez,DEF,NEW,4000000,0,9,0.3,7.5E-08,2.25E-06,0,116355,0,0,0,0,0,0,0,2.3,3831,0,0,9,0,0,0,0,2,0,1,0,0,3.3,170473,0,0,0,0,97,1578,0,0,38,Bournemouth,Man Utd,Watford,West Brom,Chelsea,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,8.4
Dwight,Gayle,FWD,NEW,6100000,1,8,0.266666666666667,4.37158469945355E-08,1.31147540983607E-06,0,100002,1,4,0,0,0,0,0,1.3,390,-4,0,8,4,0.1,0,0.7,0,0,0,0,0,0.6,14005,0,0,0,0,209,175,0,0,12,Bournemouth,Man Utd,Watford,West Brom,Chelsea,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,14
Kieran,Gibbs,DEF,WBA,5000000,1,14,0.466666666666667,9.33333333333333E-08,2.8E-06,0,12787,0,10,0,0,0,0,0,2.8,471,0,0,14,0,0.3,0,1.7,0,0,1,0,0,0.4,19527,0,0,0,0,567,511,0,0,78,Huddersfield,Chelsea,Tottenham,Newcastle,Crystal Palace,0.2,0.2,0.2,0.2,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,20.7
Olivier,Giroud,FWD,ARS,8200000,1,13,0.433333333333333,5.28455284552846E-08,1.58536585365854E-06,0,80764,0,3,0,0,0,1,0,1.6,1572,-3,0,13,3,0.1,0,0.7,0,0,0,0,0,1.2,28343,0,0,0,0,164,589,0,0,48,Man City,Tottenham,Burnley,Huddersfield,Man Utd,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,22.2
Connor,Goldson,DEF,BHA,3900000,0,0,0,0,0,0,25093,0,0,0,0,0,0,0,0,1025,-1,0,0,1,0,0,0,0,0,0,0,0,0.9,21477,0,0,0,0,0,1859,0,0,0,Swansea,Stoke,Man Utd,Crystal Palace,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heurelho,Gomes,GLK,WAT,4500000,2,30,3,6.66666666666667E-07,6.66666666666667E-06,0,50099,0,18,0,25,0,0,0,6.7,1736,0,0,30,0,0.4,0,2,2,0,3,0,0,2.3,72074,0,0,0,0,900,671,0,0,181,Everton,West Ham,Newcastle,Man Utd,Tottenham,2.6,2.9,2.8,2.1,2,3.4,4.1,2.9,3.4,2,1.7,2.6,2.1,2.4,3.2,1.8,3.2,2,3,2.3,2.6,2.4,2.5,3.3,3.7,3.4,2.7,2.2,17.6
Joseph,Gomez,DEF,LIV,4500000,6,34,4.3,9.55555555555556E-07,7.55555555555556E-06,0,86706,2,8,0,0,0,0,0,7.6,2604,0,0,34,0,1.1,0,5,5,0,4,0,1,3.3,201040,0,0,0,2,631,21486,0,0,179,West Ham,Southampton,Chelsea,Stoke,Brighton,3.5,5.4,5.1,3.5,3.8,5.4,6.4,3.6,2.3,4.8,5.3,3.7,4.6,3.4,3.6,5.4,4.1,6.4,6.3,2.2,5.6,4.1,2.6,5.9,3.8,5.8,4,6.4,32.5
Dan,Gosling,MID,BOU,4900000,0,9,0.3,6.12244897959184E-08,1.83673469387755E-06,0,2993,0,8,0,0,0,0,0,1.8,70,-1,0,9,1,0.1,0,0.7,0,0,0,0,0,0.1,1147,0,0,0,0,361,5,0,0,40,Newcastle,Huddersfield,Swansea,Burnley,Southampton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,9.2
