FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,Brad Smith,DEF,BOU,4000000,0,0,0,0,0,0,124063,0,0,0,0,0,0,0,0,2850,0,0,0,0,0,0,0,0,0,0,0,0,3.1,48959,0,0,0,0,0,65,0,0,0,Newcastle,Huddersfield,Swansea,Burnley,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robbie,Brady,MID,BUR,5500000,3,32,3.2,5.81818181818182E-07,5.81818181818182E-06,0,100472,2,9,0,0,0,0,0,5.8,3248,0,0,32,0,0.4,0,2.3,4,0,4,0,2,1.9,164181,0,0,0,0,887,562,0,0,122,Southampton,Swansea,Arsenal,Bournemouth,Leicester,3,3.4,4,3.1,2.6,2.2,3.1,2.2,2.5,1.7,2.6,3.5,2.8,2.9,2.5,1.9,3.6,2.7,4.4,2.6,2.5,2.4,3.1,3.6,2.6,3,1.9,3.7,60.8
Claudio,Bravo,GLK,MCI,4700000,0,1,0.0333333333333333,7.09219858156028E-09,2.12765957446809E-07,0,31177,0,0,0,0,0,0,0,0.2,512,-3,0,1,3,0,0,0,0,0,0,0,0,0.5,6147,0,0,0,0,44,89,0,0,4,Arsenal,Leicester,Huddersfield,Southampton,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
Miguel,Britos,DEF,WAT,4500000,2,14,2.3,5.11111111111111E-07,3.11111111111111E-06,0,118759,1,9,0,0,0,1,0,3.1,583,0,0,14,0,0.3,0,1.3,0,0,1,0,0,1,113284,0,0,0,0,473,165,0,1,89,Everton,West Ham,Newcastle,Man Utd,Tottenham,1.7,1.9,1.9,1.4,1.3,2.3,3.2,1.9,2.3,1.3,1.2,1.7,1.3,1.6,2.2,1.2,2.1,1.3,2,1.5,1.7,1.6,1.6,2.3,2.9,2.3,1.8,1.4,19.7
Leon,Britton,MID,SWA,4400000,0,9,0.3,6.81818181818182E-08,2.04545454545455E-06,0,5675,1,1,0,0,0,0,0,2,223,-1,0,9,1,0.3,0,1.3,0,0,3,0,0,0.1,3466,0,0,0,0,269,66,0,0,25,Brighton,Burnley,Bournemouth,Chelsea,Stoke,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.6
Isaiah,Brown,MID,BHA,5300000,1,6,0.2,3.77358490566038E-08,1.13207547169811E-06,0,3173,0,3,0,0,0,0,0,1.1,34,-2,0,6,2,0.2,0,1,0,0,0,0,0,0,353,0,0,0,0,123,12,0,0,18,Swansea,Stoke,Man Utd,Crystal Palace,Liverpool,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.1
,Bruno,DEF,BHA,4500000,2,28,3.1,6.88888888888889E-07,6.22222222222222E-06,0,11364,2,8,0,0,0,0,0,6.2,752,0,0,28,0,0.8,0,3.7,4,0,3,0,0,0.4,15941,0,0,0,0,736,531,0,0,136,Swansea,Stoke,Man Utd,Crystal Palace,Liverpool,2.5,3.4,1.6,4.6,3.9,2.7,2.8,3.6,3.2,3,2.2,3.5,2.8,2.8,3,4,2.6,2.6,4.1,2,2,3,4,3.5,3.1,2.8,3.2,2,18.1
Chris,Brunt,MID,WBA,5300000,0,19,0.633333333333333,1.19496855345912E-07,3.58490566037736E-06,0,110951,0,2,0,0,0,0,0,3.6,1971,-2,0,19,2,0,0,0,3,0,3,0,1,0.9,118775,0,0,0,0,402,28,0,0,90,Huddersfield,Chelsea,Tottenham,Newcastle,Crystal Palace,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,21.8
Harry,Bunn,MID,HUD,4500000,0,0,0,0,0,0,506,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,1,0,0,0,West Brom,Bournemouth,Man City,Arsenal,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oliver,Burke,MID,WBA,5300000,0,5,0.166666666666667,3.14465408805031E-08,9.43396226415094E-07,0,2826,0,1,0,0,0,0,0,0.9,52,-2,0,5,2,0,0,0,0,0,0,0,1,0,3296,0,0,0,0,35,8,0,0,16,Huddersfield,Chelsea,Tottenham,Newcastle,Crystal Palace,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,5.6
Jack,Butland,GLK,STK,5000000,6,29,2.9,5.8E-07,5.8E-06,0,78585,0,20,0,25,0,0,0,5.8,1700,0,0,29,0,0.5,0,2.3,3,0,2,0,0,3.2,87564,0,0,0,1,900,453,0,0,169,Leicester,Brighton,Crystal Palace,Liverpool,Swansea,2.6,2.7,3.5,3.5,2.3,2.7,2.7,3.5,3.6,2.6,2.8,3.4,1.6,3.5,2.8,2.5,3.5,1.8,2.9,2.1,2.7,1.7,2.7,2.5,3.1,1.9,4.3,2.4,20.3
Sam,Byram,DEF,WHU,4300000,0,0,0,0,0,0,6190,0,0,0,0,0,0,0,0,113,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,1122,0,0,0,0,0,56,0,0,0,Liverpool,Watford,Leicester,Everton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willy,Caballero,GLK,CHE,4800000,0,0,0,0,0,0,3280,0,0,0,0,0,0,0,0,56,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,497,0,0,0,0,0,13,0,0,0,Man Utd,West Brom,Liverpool,Swansea,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yohan,Cabaye,MID,CRY,5400000,2,17,2.1,3.88888888888889E-07,3.14814814814815E-06,0,19015,3,12,0,0,0,0,0,3.1,615,-1,0,17,1,0.6,0,3.3,3,0,0,0,1,0.3,10696,0,0,0,0,623,315,0,0,118,Tottenham,Everton,Stoke,Brighton,West Brom,1.1,2.6,1.7,1,1,2.1,1.2,1.1,1.7,2.3,1,1.3,1.8,1,1.2,2.2,1.7,1.3,1.6,1.4,1.1,2,1.4,1.7,1.4,2,1.1,1.9,46.7
Gary,Cahill,DEF,CHE,6300000,0,9,0.3,4.76190476190476E-08,1.42857142857143E-06,0,498852,0,8,0,0,0,0,0,1.4,5708,-2,0,9,2,0.1,0,0.7,1,0,1,0,0,3.4,26940,0,0,0,0,404,365,0,1,75,Man Utd,West Brom,Liverpool,Swansea,Newcastle,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,10.7
,Callum Wilson,FWD,BOU,5900000,1,1,0.0333333333333333,5.64971751412429E-09,1.69491525423729E-07,0,1596,0,0,0,0,0,0,0,0.2,95,-1,0,1,1,0.1,0,0.3,0,0,0,0,0,0.1,1757,0,0,0,0,16,326,0,0,1,Newcastle,Huddersfield,Swansea,Burnley,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6
Dominic,Calvert-Lewin,FWD,EVE,5000000,2,25,2.5,5E-07,5E-06,0,125874,1,13,0,0,0,0,0,5,3916,0,0,25,0,0.6,0,3,0,0,1,0,3,2,187192,0,0,0,0,701,2614,0,0,63,Watford,Crystal Palace,Southampton,West Ham,Huddersfield,2.1,2.4,1.9,2.7,2.6,1.3,1.5,2,1.7,1.7,2.2,2.3,1.5,2.8,2.6,1.2,3.4,2.5,1.6,2.7,2.2,1.9,2.9,1.8,2.7,1.5,2,1.6,51.4
Geoff,Cameron,DEF,STK,4400000,0,13,1.9,4.31818181818182E-07,2.95454545454545E-06,0,26336,0,12,0,0,0,0,0,3,758,-1,0,13,1,0,0,0,0,0,1,0,0,0.4,22463,0,0,0,0,563,27,0,0,93,Leicester,Brighton,Crystal Palace,Liverpool,Swansea,0,1.4,2.3,1.9,1.1,1.4,1.4,1.9,2,1.3,1.5,1.8,1,1.9,1.5,1.3,1.9,1,1.5,1.1,1.4,1,1.4,1.2,1.7,1,2.8,1.2,16.2
Emre,Can,MID,LIV,5000000,1,20,2.5,5E-07,4E-06,0,323330,3,15,0,0,0,0,0,4,10343,0,0,20,0,0.3,0,1.7,0,0,2,0,2,5.8,245422,0,0,0,0,614,1743,0,0,117,West Ham,Southampton,Chelsea,Stoke,Brighton,1.3,2.2,2,1.2,1.2,3.4,2.7,1.5,1.2,2.7,2.8,1.3,1.5,1.9,1.2,2,1.4,3,3,1.2,1.7,1.3,1.9,2.9,1.2,2.5,1.5,2.4,33.8
Etienne,Capoue,MID,WAT,5100000,1,14,0.466666666666667,9.15032679738562E-08,2.74509803921569E-06,0,251931,1,5,0,0,0,1,0,2.7,2479,-4,0,14,4,0.3,0,1.7,0,0,0,0,1,2,36914,0,0,0,0,202,159,0,0,56,Everton,West Ham,Newcastle,Man Utd,Tottenham,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,17.9
