FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Elias,Kachunga,MID,HUD,6000000,1,20,2.9,4.83333333333333E-07,3.33333333333333E-06,0,15389,1,6,0,0,0,0,0,3.3,872,0,0,20,0,0.3,0,2,0,0,4,0,1,0.3,12143,0,0,0,0,573,205,0,0,56,Swansea,Man Utd,Liverpool,West Brom,Bournemouth,4,1.8,1.6,2.7,2.8,1.6,1.8,3,3,2.2,3,3.1,2.8,2.3,2.5,3.9,2.1,2.8,1.4,3.5,2.2,3,2.8,3.2,2.5,1.9,1.6,3.1,3.8,1.8,4.3,17.6
Sullay,Kaikai,MID,CRY,4400000,0,1,0.0476190476190476,1.08225108225108E-08,2.27272727272727E-07,0,3850,0,0,0,0,0,0,0,0.2,1270,-1,0,1,1,0,0,0,0,0,0,0,0,0.1,6965,0,0,0,0,13,2345,0,0,5,Chelsea,Newcastle,West Ham,Tottenham,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
Harry,Kane,FWD,TOT,12700000,13,45,6.4,5.03937007874016E-07,3.54330708661417E-06,0,734770,2,5,0,0,0,6,0,3.6,3617,2,-1,45,-2,0.8,0,10.3,9,0,4,0,0,37.4,962690,0,0,0,3,618,240994,1,0,154,Bournemouth,Liverpool,Man Utd,Crystal Palace,Arsenal,7.6,8.3,7.5,6.7,6.3,7,8.9,9.6,7.6,8.1,8.3,9.3,4.8,8.6,9.6,7.6,9.6,5.5,8.5,8.9,9.5,5.6,8.9,6.7,9.1,8.9,4.7,8.7,4.9,8.7,7.3,89.9
N'Golo,Kante,MID,CHE,5100000,2,24,3.4,6.66666666666667E-07,4.70588235294118E-06,0,344427,1,6,0,0,0,1,0,4.7,27525,1,0,24,-1,0.8,0,4.3,3,0,3,0,0,20.9,453828,0,0,0,0,630,32985,0,0,153,Crystal Palace,Watford,Bournemouth,Man Utd,West Brom,4.5,1.7,4,1.9,3.2,2.5,3,3.3,3.2,3.6,2.2,4.3,3.2,3,2.8,3.3,2.9,3.8,4.2,2.9,2.3,2.8,3.5,3.9,1.7,4.3,4.4,2.6,5.1,3,3.6,37.6
Loris,Karius,GLK,LIV,4900000,0,6,0.285714285714286,5.83090379008746E-08,1.22448979591837E-06,0,3993,0,0,0,0,0,0,0,1.2,201,-1,0,6,1,0,0,0,0,0,1,0,0,0.2,1553,0,0,0,0,90,43,0,0,23,Man Utd,Tottenham,Huddersfield,West Ham,Southampton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2
Orestis,Karnezis,GLK,WAT,4500000,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0,17,0,0,0,Arsenal,Chelsea,Stoke,Everton,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beram,Kayal,MID,BHA,4400000,0,0,0,0,0,0,3451,0,0,0,0,0,0,0,0,306,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1187,0,0,0,0,0,118,0,0,0,Everton,West Ham,Southampton,Swansea,Stoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael,Keane,DEF,EVE,5400000,2,14,2.3,4.25925925925926E-07,2.59259259259259E-06,0,359485,0,11,0,0,0,0,0,2.6,19920,-1,0,14,1,0.1,0,0.8,2,0,1,0,0,7.9,117831,0,0,0,0,540,381,0,0,117,Brighton,Arsenal,Leicester,Watford,Crystal Palace,1.7,3.1,1.2,2,2.8,2.3,3.1,2.4,1.2,1.4,1.6,1.7,1.7,1.3,1.7,2.2,2.8,1.9,1.2,3.3,2.5,1.8,3.1,1.4,1.4,2.6,1.9,2.4,1.8,2.1,1.2,19.3
Martin,Kelly,DEF,CRY,4300000,0,0,0,0,0,0,7466,0,2,0,0,0,0,0,0,244,-2,0,0,2,0,0,0,0,0,0,0,0,0.2,1033,0,0,0,0,49,45,0,0,5,Chelsea,Newcastle,West Ham,Tottenham,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,Kenedy,MID,CHE,4800000,0,0,0,0,0,0,1852,0,0,0,0,0,0,0,0,76,-2,0,0,2,0,0,0,0,0,0,0,0,0,561,0,0,0,0,0,38,0,0,0,Crystal Palace,Watford,Bournemouth,Man Utd,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonjoe,Kenny,DEF,EVE,4400000,0,1,0.0476190476190476,1.08225108225108E-08,2.27272727272727E-07,0,3827,0,0,0,0,0,0,0,0.2,218,-1,0,1,1,0.1,0,0.3,0,0,0,0,0,0.1,1354,0,0,0,0,14,71,0,0,10,Brighton,Arsenal,Leicester,Watford,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4
